keilmuan,abstrak
10,increase number size data resulted increase user ability computer process large data. new paradigm parallel computing proposed handle problems teaches substantial-job split up marginal-job increasing number workers. method cluster computing using processor handle single process.  significant increase computing conventional high price build cluster system constraint. study uses parallel computing method GPU computing compares result cluster computing. GPU computing uses Graphics Processing Unit (GPU) compute parallel. result study using GPU computing processor maximized capability matrix multiplication cluster computing.
11,academic supervisor help collagers finish study efficient condition potential. allocation academic supervisor computer science major manually makes data processing late. study develop web based system help determine academic supervisor collager represent graph. system developed PHP programming language. system outputs collegers data academic supervisor graph collegers data supervisor. The system also represent data result format SK proposed format. system development use prototype method. advantage prototype method system develop expected user. prototype produces functions login lecture colleger data input clear data academic supervisor edit data academic supervisor devided colleger data supervisor. prototype produce addition function print complete supervisor data print supervisor data supervisor data graph. 
6,muslims reason learning Hadist statement activity Phophet Muhammad used guide life muslim. objective research develop Android based application contains Hadist Riyadhus Shalihin book Imam Nawawi. English Riyadhus Shalihin Field Meadow. Android Developer Tools Eclipse Droid draw button placement used developer create application. application used Java XML programming language. The application made used Mobile phones based Android operating system. features application ability choose theme based themes Riyadhus Shalihin book basic knowledge about Hadist who is Imam Nawawi contain Imam Nawawi biography About Developer exit menu exit application. 
1,Tree Structure used represent problems daily life computer science technology. method used represent tree Blob Code. research developed application Encode Decode Tree using Blob Code. application process changing tree blob code (encode) process changing Blob code form tree (decode). 
5,Besides providing education lecturer obligation carry research dedication society. Research dedication requirements increase lecturers functional position assessment reference department accreditation. Data processing lecturers research dedication Computer Science Department used spreadsheet. use spreadsheets process data research dedication according time resource efficiency. study conducted develop information systems lecturers research dedication Computer Science Department management tool department data processing lecturers research dedication. System development method used Rational Unified Process (RUP). RUP collection best practices software development industry. RUP mains workflow business modeling requirements analysis design implementation testing deployment. Lecturers research dedication information systems Computer Science Department developed using RUP. RUP method provided flexibility programmer develeoping software.
5,national exam method testing education Indonesia determining students graduation senior high school. determine graduate base minimum value obtained students and established by the government. Students follow simulated exam faced national exam value capability test. purpose research develop simulation system national exam senior high school students web-based accessed online. addition purpose research build another alternative simulation exams school. Development systems using programming language PHP MySQL database. testing system system function process simulation test results right finish working problems simulation test. 
5,Exam test evaluation goal determine one's ability. Trials conducted school conventionally implementation using paper lasting correction process. correction process can be facilitated by making the online examination system in school. System development method used waterfall method. Process method waterfall process sequentially. System superbly produced system accessed users administrators teachers students. Development online  examination system school facilitate teachers terms correcting direct assessment process online exam. test system implemented using database mySql php programming language.
4,Samba re-implementation SMB (Server Message Block) / CIFS (Common Internet File System) Windows NT used providing shared access files printers miscellaneous communications nodes network. Samba uses client-server mechanism computer act server active provide services users. alternative wireless router used replace computer server functionality provide services computer server. using OpenWrt wireless router installed Samba server. installation configuration process Samba server designed Bash shell script automatically installing configuring Samba server OpenWrt router. 
6,technology supports human life applied aspects example education development. Learning process using computer aided tools used. Application Sequential Search Algorithm Searching Process Information Learning System Human's Heart example application computer education solution help learning process teachers lecturers students. research use sequential search algorithm searching process learning system human's heart search methods facilitate text searches information required user. system information material related heart organ heart anatomy heart physiology heart pathology. testing systems used application Black Box method. Black Box Testing focuses functional requirements software. Black Box Testing used testing system order system work.
5,Online attendance list new breakthroughs record list attendees using computer technology internet. general online attendance list entering username password registered system limited area. research developed web based attendance recording system login area restriction. system check username password entered user detecting IP addresses access system. users succeed login system means listed presence list fail system record presence. system produce report attendance list given period used protect information access.
5,companies large flocked help science technology support company's operational processes. study software Service Information System Centre application parking facilitate corporate leaders monitoring parking reports results time. software designed using Adobe Flash created Visual Basic programming Seagate cristal Report Microsoft Office Access database. software parking system is expected to be better in terms security speed order time parking parking area.
9,Science study nature surroundings including flora fauna. Flora plants live particular habitat area fauna animals live particular habitat area. elementary school level students learn introduction flora fauna characteristics environmental habitat breeding food type. time elementary school students introduced flora fauna book. research web-based bilingual teaching system flora fauna using Indonesian English developed elementary school students. system built using waterfall methods MySQL database PHP programming language. system created aim help students flora fauna environment increase student's knowledge English.
1,Security important aspect digital data transmission steganography way hiding secret message way aware existence something message. research built digital steganography system using web-based Adaptive Minimum - Error Least Significant Bit Replacement (AMELSBR) method. media hide message form .jpg output form .png message form .txt. procedures for applying AMELSBR method are Capacity Evaluation Minimum - Error Replacement Error Diffusion. result AMELSBR method manage hiding restoring files excessive distortion (noise) stego image. The AMELSBR method possibility returning files image manipulation change image Brightness Contrast black color dominant (rgb) white color dominant (rgb).
11,Active student computer science system system developed based academic information system (siakad) managed University Lampung. system built calculate number active students based data inputted students KRS beginning semester. KRS data used build system calculate number active students majoring Computer science. system developed using PHP MySQL tested using Black box White box testing.
9,Markerless Augmented Reality (AR) term environment combines real world  virtual world objects real world recognized position direction location. Markerless AR technology used interactively visualize information technology combined mobile communication device smartphone Android operating system. Camera features internet accelerometer digital maps GPS (Global Positioning System) Android devices integrated AR technology implemented. study Markerless AR technology implemented Faculty Mathematics Natural Science (Science) University Lampung buildings. study create application provides information buildings Faculty maps information Natural Sciences accessible Android smartphones. application designed implemented using Java programming language Android BeyondAR framework support detect display AR object Google Maps API display map Science Faculty. results data test using Equivalence Partitioning test application functionate well according to the analysis. addition based questionnaire data application user friendly application (average value very good) interactive (average value good).
5,People information geographical related objects distance regions object locations facilities natural resources. Geographic Information System (GIS) solution getting information geographical related objects. object research Lampung culinary Lampung Province typical foods culinary places young people teenagers parents. culinary places categorized cafe restaurant. application developed using Microsoft Visual Basic Express MapWinGIS ActiveX Control. development application implement Water Fall method. supporting softwares My GPS Coordinates Quantum GIS and Microsoft Access Database.
5,Community service programs core services (Tri Darma) coordinated LPM University Lampung. number lectures follow LPM Program special strategy providing means dissemination information. technologies popular cell phone users SMS (Short Message Service). natures SMS practical economical efficient deliver information. SMS technology used people. relatively cheap message delivery. research Information dissemination system SMS Gateway implemented using Gammu combined PHP programming language MySQL database. results implementation system helpful lectureres obtain information program of community service joined.
5,moslem people read the Qur'an children adults. addition activities conducted adults shame main reason. way learn read Quran using iqro. Iqro form book used interactive makes bored learn. Android operating system for mobile devices used. Android open source applications develop. application iqro integrated Smartphone Tablet PC based Android users learn. research aims at creating application iqro good view use learn users. addition research introduce people information technology especially Android. results research application iqro Android-based used alternative learning medium studying iqro interactive provide easy application learn.
5,research developed web-based application PHP Generator. development produce application minimize time making web-based information systems. application built using PHP programming language integrated  MySQL database supported javascript jQuery. research method used research action research prototyping software development method. application generate php files add view edit delete search data stored database either entire data table filtered data. display form input elements user generated file textfields textarea password radio button select option checkbox. addition application completed data validation functions file generated.
5,SMS gateway is a service  receive massages from the outside and can send counterpunch automatically into a number of purposes. SMS gateway it has been much used so one example in research is SMS a gateway to the quick count pilkada. In this research autoreply feature is added to sending SMS. Autoreply is add modem concept that send SMS from 3 modems the modems contain 3 card that used different operator. So every system that received inbox will be replied automatically from modem that help the sending and receiving data using operator cellular service that same with operator cellular sent. Autoreply feature added to ensure and accelerate the acquisition of information does reach the sound at the time of performance of the elections and 3 modem used to reduce toll rates because the system reply SMS in accordance with the service provider used by the sender.
5,School information is very important for associating parents and school. Information about student at school such a test score as a means of academic activity is very important for parents to know. Usually test score information is only informed when report is given to parents. The system that we developed is used to report student test score via SMS Gateway and working properly. The SMS Gateway system is created using a MySQL database Gammu and PHP.
5,Technology implementation has been spread in almost all subjects even in library. The library has develop rapidly and dynamically manual system felt like don't useable to handle the job especially on daily activity in procurement cataloging and situation controlling. This situation requires information system use based on computer technology or CBIS (Computer Base Information System). In this study an information system based on web is designed in PHP MySQL programming language. This system is expected to handle user need to find information and help the librarian in book data processing. From the result the study can be implementing as Library Information System Based on Web for schools in Bandar Lampung.
5,Library information system is a system which is very required by a library to be able to manage the data and transactions that happens in the library. Interactive information systems that are important for improving the quality of a library. The dissemination  of  information  that  is  more  efficient  also  can  be  done  via  the internet and mobile phones. In this research developed a system of information library able to interact with members and visitors of the library allowing members get information about books in more quickly. Implementation system SMS Gateway with autoreply facility that allows members to obtain information books everytime and everywhere. The development of this system purpose to simplify the process of update information about new books to members of the library add reading  interest and increase  the number of visitors library. Implementation system used by MySQL database GAMMU as tool of SMS Gateway and PHP as programming language.
5,As the development of technologies in computers human beings are competing to create the newest technology in the form of hardware and software. The big companies are certainly use computer-based information system (CBIS) for example PT PLN (Persero) of  Lampung Region. PT PLN (Persero) of Lampung Region is a company that supplies electricity for Lampung Province.  They have activities that associated with mailing and receiving letter.  The received letters are accommodated in the secretary and are documented and archived using computer in semi manual manner. The computer system used less efficient and with given amount of letters often cause mistakes and slowness in registering them. This caused the slowness of searching of the archives and as well in generating and recap for the letters reporting.  Moreover the letters documentation security is absent. Because of that the existing system needs to be developed to improve services and good security.  This research goal is to make a system for a letters documentation that has security features such as logins and a good encryption and decryption using Twofish algorithms. This research used Visual basic 6.0 programming language combined with MySQL database and Crystal Report. The system development methodology used in this research is Waterfall. Black Box testing results show that the letter archive system has been successfully developed in accordance with the needs of the user.
5,Asset management is very  important aspect to company like PT. PLN.  Asset management may include record keeping maintenance and environment management. Recording information asset owned by a company is the primary and most important thing to do. With the information obtained from the recording of data asset the company will be able to know exactly what asset and how exactly the asset owned by the company. Having recorded assets the company will be able to optimize the use of assets and the company will be easier to undertake further asset management. PT PLN (Persero) Tarahan's Generating Sector is a Steam Power Plant which has assets spread both inside and outside the building. The dominant's equipments in this site plant are the generating engines. The process of recording information of assets in PT PLN (Persero) Tarahan's Generating Sector is not entirely managed by computerized system. The process of recording assets is still done manually and not reliable.   This research develoved an Asset Inventory Information System which has features  that can do registration of information detail about attributes and monitoring and mapping the location of existing asset. This research is covering the fixed assets that exist in the Utility Building. Web-based GIS  of Asset Inventory Information System is built by using MapServer and Pmapper. Pmapper is a framework based on MapServer and PHP/Mapscript. Pmapper provides a good set of tools ready to use and it has a plugin API to add functionalities. The toughness of this framework is able to run well in various web-browser. The aplication is expected to facilitate the company determine and monitor hence its use can be optimized.
6,According to a research conducted by language-learning-advisor.com Japanese is the ninth most beautiful spoken language after Russian and Finnish and the fourth most beautiful writing language after Arabic Chinese and French. According to Masaki Tani the Public Relation of Japan Embassy for Indonesia in 2010 Indonesia is the third country in the world that learns Japanese after China and South Korea. Learning Japanese or the other foreign languages can be done in the formal institutions such as lectures and or courses and also can be done at home using book or internet. Generally Japanese is devided into two categories formal and informal language. Formal language is widely applicable includes the usage to close people and foreigners. Informal language only used to close people including family. In this research we made an application for Japanese learning based on web using PHP of Macromedia Dreamweaver. We hope that this application can be used easily for people who don't know Japanese. Sequential Algorithm is used in this application to find sub-string.
5,Linux is an open source operating system. Everyone can change and develop the Linux operating system as needed. In this research we use Linux operating system to generate a new operating system that supports learning Java programming. The resulting operating system is runs via Live CD / Live USB. The operating system has been successfully created and can be used as learning tools for Java programming.
11,tracking SIAKAD transcript found bug arrangement lesson position tenth till fifteenth semester located semester. Process tracking bug simulation program. research carried development original program Siakad simulation program analyzed find out bug system. Development program using PHP MySQL database software. Tracking bug using whitebox testing method determined bug procedural structure program operational function system. Bugs repaired adding source code program. determination variables memory variables application Bubble sort method sorting proccess. result shows bugs program fixed.
7,The selection of good achievement lecturers is a recognition for those lecturers who already had been conducting three principles of higher education with very good results. The selection of those lecturers in The University of Lampung is conducted annually. In the process of selection the university will appoint assessing team to conduct assessments to the candidates. However this assessment process is still conducted manually so that it will take a time to process the data. In addition the assessment is still subjective in nature and is not yet relevant to the real conditions. Based on this background the objective of this research was to build a decision support system to use in conducting selection process of good achievement lecturers in The University of Lampung. This decision support system was built based on web by using PHP programming language and MySQL as database and Simple Additive Weighting method for making the decision. This method was used to determine point values of each criterion and then ranked score was made to determine the best solution. The testing of the application using black box showed that this system was able to run properly. The results also influence the academic atmosphere and institutional quality.
7,Disease is an unwanted problem in freshwater fish cultivation. Lack of information to prevent the disease and limited number of expert in the field of fishery cause unoptimal harvest that leads to substantial loss. Based on that background expert system to diagnose disease in freshwater fish cultivation is made in this research. This system is intended to help the fish cultivator in identifying diseases based on the symptoms that the fish have. Therefore further treatment can be applied to cure the fish. The expert system is web-based with php and MySQL as the programming languages that are used as database. Forward chaining is used as the method of reasoning. This method is used to decide which rule is going to be executed then it is executed. The process is repeated until the result comes up. This system is able to diagnose 33 diseases in 5 kinds of fish. There are 2 tests in this research which are internal and external. The result of the test shows that the system is able to diagnose well and meet the expectation. Moreover on the management of the rule the system is able to run as it is intended. This research has created a web based expert system application that can be used to diagnose diseases based on the facts given and give solutions like an expert.
12,Biology is part of science that have special characteristics different from other sciences in terms of objects issues and methods as well as having many terms and have the object form of the Kingdom (kingdom): Animalia (animal's world) Plantae (plant's world) Monera Protista and Fungi. Object numbering thousands of types into its own difficulties to learn it. One way to make it easier to learn it is grouping or classification of organism is called Taxonomy and the scientific name is called Binomial Nomenclature. In this study to learn the classification and scientific nomenclature then created taxonomy's application based on Android which aims to facilitate students in classifying organism consist of Kingdom Sub Kingdom Super Division Division class Sub class Ordo Family Genus and species. This application is designed and then implemented using the Java programming language for Android MySQL and Web Server to manipulate the data that is needed and updates the database periodically. The results of data test using Equivalence Partitioning test shown the application functionate well according to the analysis. In addition based on questionnaire data that the application is a user friendly application (with an average value of / good) and interactive (with an average value of / good).
11,study developed Decision Support System (DSS) utilizing Analytical Hierarchy Process (AHP) Method process selection employees acquisition. selection process used several criteria (multicriteria) applicants accepted. Decision Support System (DSS) helps managers Human Resources (HR) deciding applicants selected. application criteria used weight criteria. application of module business process generate rank applicant based final. applicant greatest value better rank means applicant criteria accordance company's requirement. addition Web Service business process payroll modules. process set functions methods  contained server data information using operating system application different internet uses XML format message delivery. system constructed using PHP MySQL language. result functional testing data based test case testing system work accordance analysis.
1,The research was conducted with making an application to change Chomsky Normal Form (CNF) to Greibach Normal Form (GNF) with substitution method. One way of representing Context Free Grammar (CFG) is using Greibach Normal Form (GNF). The development of the application starts by making algorithm with prototype method to change Chomksy Normal Form (CNF) to Greibach Normal Form (GNF). This application is used to change Chomsky Normal Form to Greibach Normal Form and the results show that the application can change Chomsky Normal Form to Greibach Normal Form smoothly.The input for the application must be on Chomksy Normal Form (CNF).
1,Security and confidentiality of data transmission are two important aspects in the era of openness to data access and information. One way to secure the data transmission is using steganography. In this research the method used is End Of File (EOF) and used image as the medium. The message is hidden by inserting it in the end of the line image file. The media for hiding the message is in the form of .jpg and the output is in the form of .png. Inputting message is done manually. Testing have  been conducted on 5 types of images with different resolutions with a number of different messages characters which are 10 100 and 1000 characters. The results show that the method of End Of File (EOF) successfully used to hide message in the media image and to take back the message that has been inserted. The image size and the number of characters used affects the processing time for embedding and extracting. Cropping contrasting and brightness on stego image are conducted to analyze the resilience of the message inserted. The results show that the stego image manipulations are sensitive or resistant to the manipulation that makes the message becomes corrupted and are not recommended in manipulating stego image.
7,Knapsack Problem (KP) is known as one of combinatorial optimization problem that maximizes the amount of value (profit/ priority) of some of the items chosen to put in a sack or a bag without exceeding its capacity. KP has been applied in many fields: cargo loading budget control financial management and etc. In addition KP is also included in NP-Hard problem. Several research have been conducted using some heuristic method to solve it. Some of these methods are Branch and Bound Greedy Algorithms Dynamic Programming and Genetic Algorithms. However when using GA the feasibility of chromosome is one of critical issue. Most of optimization problem has constraint functions that will change the feasibility of solution. GA has some strategies to handle this case on the evaluation step. Evaluation not only calculates chromosome's fitness value but also handles the infeasible chromosomes presence. There're rejecting strategies repairing strategies and penalty strategy.This paper develops a strategy GA approach with chromosome repairing strategy. In order to see the performance of the algorithm we have done numerical experiment with several test problems taken on certain literature. In addition this study will also give variations in GA parameter to determine the efficiency and effectiveness of the algorithm.
1,The list of academic advisor utility is an utility that was developed to help the administration process of computer science major. Previously it's only used bubble sort sorting algorithm. We try to compare the bubble sort algorithm with selection sort and quick sort to determine the quickest algorithm which will be implemented in other major by searching the worst case (slowest execution time per unit) and best case (fastest execution time per unit). The result is quick < selection < bubble. Selection sort algorithm is proven to be the quickest when n < 26. But the  cademic advisor data that are used in the utility is more than 26. So in this research the quicksort algorithm is the fastest algorithm.
1,In this research we develop The Application of Encoding and Decoding Tree Using The Dandelion Code.  It aims to obtain Dandelion code of a tree using encoding and decoding. The encoding generates code from a tree and decoding processes a code back into a tree. This application is developed to produce the best tree representation. Additionally in this research we give an example of problem that can use Dandelion Code for solving the lowest cost for electricity installation.
5,Build the client application to the server for the sale of electronic pulses on the pulse distributor company Maxrefil so as to minimize the failure rate in the transaction process. Applications can be installed and run properly on Android devices version of the ICS Jelly Bean and Kitkat. The success rate of applications in providing convenience in the sale pulses with a very good percentage of 60% 35% good and quite by 5%. The success rate of applications in minimizing a failure in the sale pulses with a very good percentage of 90% and good by 10%.
5,This research is conduct to make a system called Information System of KKN with Pigeon Hole Method for Determine and Grouping KKN Participant. Grouping KKN participant based on gender and major of faculty. Grouping KKN participant based on gender is every KKN group consist of 7 participant that consist of 3 male and 4 female. Grouping KKN participant based on majority and faculty is every KKN group consist of 7 participant that consist max 2 participant from same major and max 3 participant from same faculty. The result of grouping KKN participants based on each assumptions is percentage of system accuracy in classifying participant KKN is not much different from the ideal of percentage each group data. This information system of KKN is make using prototype method which is part of SDLC. Information system of KKN can be use as a means by students to participate KKN process. Information system of KKN with pigeon hole method make placement and grouping KKN participant more easy and well ordered.
5,This research is done by making an application to simplify Context Free Grammar (CFG). The process of making the application starts from designing the algorithm using eXtreme Programming method as system development methods until get the application to simplify Context Free Grammar (CFG). The testing method to test the application is Black Box Testing. The result shows that the application can simplify Context Free Grammar smoothly and how to simplify Context Free Grammar step by step. Context Free Grammar (CFG) simplification has  three stages eliminating espsilon production eliminating unit production and eliminating useless production those three stages must be done sequentially.
5,In 2013 the research developed a Printing Utility Lecture's Attendance using web base of Sistem Matahari. But due to changes in database and language of SIAKAD (Academic System Information)  University of Lampung in 2014 then the utility cannot be reused. To solving the problem this research had successfully developed a Printing Utility of Lecture's Attendance List case study of Development of Computer Science FMIPA University of Lampung. The making of attendance list is using data source from result from imported excel file format DNK (List of Student Name in A Class) retrieved from SIAKAD University of Lampung. The development is also done on improving attendance list printout with the output of a dynamic PDF file that is can be customized to user requirements.
8,Augmented Reality (AR) is a term for an environment that combines real world and virtual world where objects in real world can be recognized through the position direction and location. One of AR technology which is currently being developed is Markerless Augmented Reality with this technology users no longer need to use a marker to display digital elements. This technology can also be used to visualize information interactively especially when this technology is integrated with mobile devices such as smartphones that have Android operating system. Camera feature internet accelerometer digital maps and GPS (Global Positioning System) on Android devices can be integrated so that AR technology can be implemented. In this research Markerless Augmented Reality technology is implemented to detect and find out the location of the nearest gas station in Bandar Lampung city. This application was designed and then implemented by using Java for Android programming language and Beyond AR framework to detect and display AR object and the Google Maps API to display a map of  location of gas stations. The result of testing data using an Equivalence Partitioning testing indicates that the application can function in accordance with the analysis. Additionally based on questionnaire data this application is a user friendly application (with an average grade of 4.29 / Excellent) and interactive (with an average grade of 4.20 / Well).
1,In this research we develop an application to simplify context-free grammar into a Chomsky normal form. This software was made to complete the process of simplification of the context-free grammar (CFG) so that user can identify the stages of a process of simplification easy to understand the simplification at any stages as well as speed up the process. This software is created using the PHP programming language and use context-free grammar (CFG) as the input. The process order is carried out starting from removing epsilon unit and useless production so that the result is in Chomsky Normal Form. Black Box testing results with the method of partitioning software equivalen suggests that simplification of software context-free grammar into a Chomsky normal form using PHP was successful and suitable with the user needs.
